title,author,date,link
Languages come and go but C & C++ are legends on their own ✌,F.k,"Sun, 31 Jul 2022 04:21:21 GMT",https://medium.com/@F.K/languages-come-and-go-but-c-c-are-legends-on-their-own-7b5d4a79db85?source=rss------coding-5
Complete Blockchain and Web3 course: FREE,BlockTrain.info,"Sun, 31 Jul 2022 04:16:22 GMT",https://medium.com/0xblocktrain/complete-blockchain-and-web3-course-free-38a640bded1a?source=rss------coding-5
實作圖像分類模型會遇到的問題：資料篇,Ricky Chen,"Sun, 31 Jul 2022 03:33:44 GMT",https://medium.com/@chenricky007/%E5%AF%A6%E4%BD%9C%E5%9C%96%E5%83%8F%E5%88%86%E9%A1%9E%E6%A8%A1%E5%9E%8B%E6%9C%83%E9%81%87%E5%88%B0%E7%9A%84%E5%95%8F%E9%A1%8C-%E8%B3%87%E6%96%99%E7%AF%87-4e6ea9877b76?source=rss------coding-5
Level Up — Day 5 (later on),Brian Reardon,"Sun, 31 Jul 2022 02:17:54 GMT",https://medium.com/@brianontheweb/level-up-day-5-later-on-6a60b21caa7b?source=rss------coding-5
Every Data Analyst Needs To Know These Python Packages,Manpreet Singh,"Sun, 31 Jul 2022 00:37:57 GMT",https://preettheman.medium.com/every-data-analyst-needs-to-know-these-python-packages-90ed099b33af?source=rss------coding-5
How To Learn Cybersecurity on Your Own,Shimon Brathwaite,"Sat, 30 Jul 2022 22:01:12 GMT",https://medium.com/geekculture/how-to-learn-cybersecurity-on-your-own-7f3b4cdd408a?source=rss------coding-5
Complete Beginner’s Guide For Programming,Gökhan Yalcuk,"Sat, 30 Jul 2022 21:12:35 GMT",https://medium.com/illumination/complete-beginners-guide-for-programming-3e2cd7a08912?source=rss------coding-5
Python Code that Generates Maclaurin Series,Muhammad Hamxa,"Sat, 30 Jul 2022 19:33:21 GMT",https://medium.com/@hamxa26/python-code-that-generates-maclaurin-series-cd4ed2f715a7?source=rss------coding-5
The Not So Slippery World of Python,Head in The Clouds,"Sat, 30 Jul 2022 19:13:36 GMT",https://medium.com/@Marsha.C/the-not-so-slippery-world-of-python-f7d61eb76000?source=rss------coding-5
Introduction to Programming with Ruby (Part 1),Joe,"Sat, 30 Jul 2022 18:43:12 GMT",https://medium.com/@joengineer1/introduction-to-programming-with-ruby-part-1-5dc6a44d3774?source=rss------coding-5
